book,code,description,category,trade,hours,parts_allowance,list_price,labor_value,active,notes
invoice,14,Shop / Unapplied Billable Hours,Shop,both,0,0,0.00,0.00,true,
invoice,CALLBACK,Callback / rework — no charge,Office,both,1,0,0.00,0.00,true,"Bill office, not customer"
invoice,DIAG,Diagnostic Fee,Office,both,1,0,59.00,59.00,true,
invoice,EST,Estimate,Office,both,0.5,0,0.00,0.00,true,
invoice,MANUAL,Manual parts & labor — type $ and hours on log,Manual,both,0,0,0.00,0.00,true,"Type Final $, Hours, Parts Manually"
invoice,PM10A,Generic Task materials up to $700 / ~1.0 hr,Price/Labor & Material,both,1,700,1369.00,1369.00,true,Mat sell ~$1169
invoice,PM10B,Generic Task materials up to $700 / ~1.5 hr,Price/Labor & Material,both,1.5,700,1469.00,1469.00,true,Mat sell ~$1169
invoice,PM10C,Generic Task materials up to $700 / ~2.0 hr,Price/Labor & Material,both,2,700,1569.00,1569.00,true,Mat sell ~$1169
invoice,PM11A,Generic Task materials up to $800 / ~1.0 hr,Price/Labor & Material,both,1,800,1536.00,1536.00,true,Mat sell ~$1336
invoice,PM11B,Generic Task materials up to $800 / ~1.5 hr,Price/Labor & Material,both,1.5,800,1636.00,1636.00,true,Mat sell ~$1336
invoice,PM11C,Generic Task materials up to $800 / ~2.0 hr,Price/Labor & Material,both,2,800,1736.00,1736.00,true,Mat sell ~$1336
invoice,PM12A,Generic Task materials up to $900 / ~1.0 hr,Price/Labor & Material,both,1,900,1703.00,1703.00,true,Mat sell ~$1503
invoice,PM12B,Generic Task materials up to $900 / ~1.5 hr,Price/Labor & Material,both,1.5,900,1803.00,1803.00,true,Mat sell ~$1503
invoice,PM12C,Generic Task materials up to $900 / ~2.0 hr,Price/Labor & Material,both,2,900,1903.00,1903.00,true,Mat sell ~$1503
invoice,PM13A,Generic Task materials up to $1000 / ~1.0 hr,Price/Labor & Material,both,1,1,1870.00,1870.00,true,Mat sell ~$1670
invoice,PM13B,Generic Task materials up to $1000 / ~1.5 hr,Price/Labor & Material,both,1.5,1,1970.00,1970.00,true,Mat sell ~$1670
invoice,PM13C,Generic Task materials up to $1000 / ~2.0 hr,Price/Labor & Material,both,2,1,2070.00,2070.00,true,Mat sell ~$1670
invoice,PM1A,PM tier1 / ~1 hr,Price/Labor & Material,both,1,25,242.00,242.00,true,
invoice,PM1B,PM tier1 / ~1.5 hr,Price/Labor & Material,both,1.5,25,342.00,342.00,true,
invoice,PM1C,PM tier1 / ~2 hr,Price/Labor & Material,both,2,25,442.00,442.00,true,
invoice,PM2A,PM tier2 / ~1 hr,Price/Labor & Material,both,1,50,284.00,284.00,true,
invoice,PM2B,PM tier2 / ~1.5 hr,Price/Labor & Material,both,1.5,50,384.00,384.00,true,
invoice,PM2C,PM tier2 / ~2 hr,Price/Labor & Material,both,2,50,484.00,484.00,true,
invoice,PM3A,Generic Task materials up to $75 / ~1.0 hr,Price/Labor & Material,both,1,75,325.00,325.00,true,Mat sell ~$125
invoice,PM3B,Generic Task materials up to $75 / ~1.5 hr,Price/Labor & Material,both,1.5,75,425.00,425.00,true,
invoice,PM3C,Generic Task materials up to $75 / ~2.0 hr,Price/Labor & Material,both,2,75,525.00,525.00,true,Mat sell ~$125
invoice,PM4A,PM tier4 / ~1 hr,Price/Labor & Material,both,1,100,367.00,367.00,true,
invoice,PM4B,PM tier4 / ~1.5 hr,Price/Labor & Material,both,1.5,100,467.00,467.00,true,
invoice,PM4C,PM tier4 / ~2 hr,Price/Labor & Material,both,2,100,567.00,567.00,true,
invoice,PM5A,PM tier5 / ~1 hr,Price/Labor & Material,both,1,200,534.00,534.00,true,
invoice,PM5B,Generic Task materials up to $200 / ~1.5 hr,Price/Labor & Material,both,1.5,200,634.00,634.00,true,Mat sell ~$334
invoice,PM5C,Generic Task materials up to $200 / ~2.0 hr,Price/Labor & Material,both,2,200,734.00,734.00,true,Mat sell ~$334
invoice,PM6A,PM tier6 / ~1 hr,Price/Labor & Material,both,1,300,700.00,700.00,true,
invoice,PM6B,Generic Task materials up to $300 / ~1.5 hr,Price/Labor & Material,both,1.5,300,800.00,800.00,true,Mat sell ~$500
invoice,PM6C,Generic Task materials up to $300 / ~2.0 hr,Price/Labor & Material,both,2,300,900.00,900.00,true,Mat sell ~$500
invoice,PM7A,Generic Task materials up to $400 / ~1.0 hr,Price/Labor & Material,both,1,400,868.00,868.00,true,Mat sell ~$668
invoice,PM7B,Generic Task materials up to $400 / ~1.5 hr,Price/Labor & Material,both,1.5,400,968.00,968.00,true,Mat sell ~$668
invoice,PM7C,Generic Task materials up to $400 / ~2.0 hr,Price/Labor & Material,both,2,400,1068.00,1068.00,true,Mat sell ~$668
invoice,PM8A,Generic Task materials up to $500 / ~1.0 hr,Price/Labor & Material,both,1,500,1035.00,1035.00,true,Mat sell ~$835
invoice,PM8B,Generic Task materials up to $500 / ~1.5 hr,Price/Labor & Material,both,1.5,500,1135.00,1135.00,true,Mat sell ~$835
invoice,PM8C,Generic Task materials up to $500 / ~2.0 hr,Price/Labor & Material,both,2,500,1235.00,1235.00,true,Mat sell ~$835
invoice,PM9A,Generic Task materials up to $600 / ~1.0 hr,Price/Labor & Material,both,1,600,1202.00,1202.00,true,Mat sell ~$1002
invoice,PM9B,Generic Task materials up to $600 / ~1.5 hr,Price/Labor & Material,both,1.5,600,1302.00,1302.00,true,Mat sell ~$1002
invoice,PM9C,Generic Task materials up to $600 / ~2.0 hr,Price/Labor & Material,both,2,600,1402.00,1402.00,true,Mat sell ~$1002
invoice,SRV-CH,Service Charge,Office,both,1,0,120.00,120.00,true,Rate Price For Coming Out (no contract)
invoice,TRUCK-ORG,Truck organize / clean / stock,Office,both,0.5,0,0.00,0.00,true,Unapplied Billable Hour
invoice,WARRANTY,Warranty (No Charge),Office,both,2,0,0.00,0.00,true,Repair Is Covered Under Warranty
plumbing,PA1A,Interior branch line cable,Drain-Cleaning,plumbing,2,0,273.00,273.00,true,
plumbing,PA5B,Main Line Drain Cleaning Without Clean Out Access,Drain-Cleaning,plumbing,2,0,979.00,979.00,true,
plumbing,PA6A,Drain Machine Additional Hour(s),Drain-Cleaning,plumbing,1,0,120.00,120.00,true,
plumbing,PA7A,Camera additional hour(s),Drain-Cleaning,plumbing,1,0,180.00,180.00,true,
plumbing,PA7C,Sewer Camera up to 2hrs,Drain-Cleaning,plumbing,2,0,549.00,549.00,true,
plumbing,PB1C,Pressure Regulator Valve,Plumbing,plumbing,2,0,714.00,714.00,true,
plumbing,PB4A,Expansion Tank,Plumbing,plumbing,1,0,447.00,447.00,true,
plumbing,PC10A,Flange repair,Plumbing,plumbing,1,0,963.00,963.00,true,
plumbing,PC10B,Replacement Toilet - Standard,Install,plumbing,1.5,0,750.00,750.00,true,
plumbing,PC12A,Commercial Repair - Section Toilet/Urinal,Plumbing,plumbing,1.5,0,568.00,568.00,true,
plumbing,PC1A,Basic Repair Section Toilet (Float/Flapper/Lever/Fill Valve),Plumbing,plumbing,1,0,308.00,308.00,true,
plumbing,PC9A,Flange Replacement,Plumbing,plumbing,1,0,620.00,620.00,true,
plumbing,PC9B,Customer Supplied - Standard Toilet,Install,plumbing,1.5,0,350.00,350.00,true,
plumbing,PD3B,Sump Pump,Plumbing,plumbing,1.5,0,765.00,765.00,true,
plumbing,PD7E,Sump Pump W/ Waterpower Back-up Option,Plumbing,plumbing,3,0,1884.00,1884.00,true,
plumbing,PD8E,Sump Pump W Battery Back-up,Plumbing,plumbing,3,0,2498.00,2498.00,true,
plumbing,PE10B,Electric 80 gallon,Install,plumbing,5,0,4133.00,4133.00,true,M/A=3514
plumbing,PE11A,Tankless,Install,plumbing,5,0,5405.00,5405.00,true,M/A=4595
plumbing,PE16B,40 Gallon NG PowerVenter HWH Install,Install,plumbing,5,0,3699.00,3699.00,true,
plumbing,PE17A,50 gallon Powervent,Install,plumbing,5,0,5045.00,5045.00,true,M/A=4289
plumbing,PE18A,75 gallon Powervent,Install,plumbing,5,0,6852.00,6852.00,true,M/A=5825
plumbing,PE2B,Gas 40 gallon,Install,plumbing,4,0,2706.00,2706.00,true,M/A=2301
plumbing,PE3B,Gas 50 gallon,Install,plumbing,4,0,3086.00,3086.00,true,M/A=2624
plumbing,PE5B,Gas 75 gallon,Install,plumbing,5,0,3288.00,3288.00,true,M/A=2795
plumbing,PE7B,Electric 40 gallon,Install,plumbing,4,0,2492.00,2492.00,true,M/A=2118
plumbing,PE7B-50,Electric 50 gallon,Install,plumbing,4,0,2327.00,2327.00,true,M/A=1978 (alt PE7B)
plumbing,PF1B,Tub / Shower Mixer Valve - Repair,Plumbing,plumbing,1.5,0,687.00,687.00,true,
plumbing,PF4B,Install (HO Supplied) Levy/Vanity Faucet,Plumbing,plumbing,1.5,0,384.00,384.00,true,
plumbing,PF5B,Vanity Faucet,Plumbing,plumbing,1.5,0,521.00,521.00,true,
plumbing,PG1B,H.O.Supplied Kitchen Faucet INSTALL,Plumbing,plumbing,2,0,385.00,385.00,true,
plumbing,PG2B,Kitchen Faucet,Plumbing,plumbing,1.5,0,578.00,578.00,true,
plumbing,PG3B,Disposal,Plumbing,plumbing,1.5,0,517.00,517.00,true,
plumbing,PH1A,Customer Supplied - Hose Bib,Plumbing,plumbing,1,0,285.00,285.00,true,
plumbing,PH2A,"Hose Bibs (8""-10"")",Plumbing,plumbing,1,0,310.00,310.00,true,
plumbing,PH3B,Ice Maker Water Line,Plumbing,plumbing,1.5,0,517.00,517.00,true,
plumbing,PR1A,Jetting Lines Additional hour(s),Drain-Cleaning,plumbing,1,0,200.00,200.00,true,Additional Hours After The First Two
plumbing,PR1C,Jetting Lines Up to 2HR,Drain-Cleaning,plumbing,2,0,1054.00,1054.00,true,
hvac,HVAC-BLOWER,Blower motor replace (standard),HVAC,hvac,2,220,890.00,890.00,true,
hvac,HVAC-CAP,Replace run capacitor,HVAC,hvac,0.75,28,285.00,285.00,true,
hvac,HVAC-CHG,Recover / recharge refrigerant (up to 2 lb),HVAC,hvac,1.5,80,420.00,420.00,true,Additional lb billed extra
hvac,HVAC-COIL,Clean evaporator coil,HVAC,hvac,1.5,20,385.00,385.00,true,
hvac,HVAC-COND,Condensate drain clear / treat,HVAC,hvac,0.5,8,165.00,165.00,true,
hvac,HVAC-DIAG,HVAC diagnostic / no-cool no-heat,HVAC,hvac,1,0,189.00,189.00,true,Service call + diagnosis
hvac,HVAC-FILTER,"Replace 1"" filter (aftermarket)",HVAC,hvac,0.25,12,48.00,48.00,true,
hvac,HVAC-IGN,Furnace ignitor replace,HVAC,hvac,0.75,42,310.00,310.00,true,
hvac,HVAC-INDUCER,Inducer motor replace,HVAC,hvac,1.75,180,740.00,740.00,true,
hvac,HVAC-INSTALL,System install labor (per hour),HVAC,hvac,1,0,200.00,200.00,true,Use with equipment quote
hvac,HVAC-TSTAT,Replace thermostat (standard),HVAC,hvac,0.75,65,320.00,320.00,true,
hvac,HVAC-TUNE,Seasonal tune-up (AC or furnace),HVAC,hvac,1.25,25,249.00,249.00,true,
