book,code,description,category,trade,hours,parts_allowance,list_price,labor_value,active,notes
plumbing,Artesian Discount,Multiple Jobs Discount,Plumbing,plumbing,0,0,10.00,10.00,false,Discount; Discount — not sold hours
plumbing,Commercial Backflow Preventer,Annual Commercial backflow certification test,Plumbing,plumbing,1.5,0,275.00,275.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA1A,PA1A,Drain-Cleaning,plumbing,1.5,0,273.00,273.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA1B,PA1B,Drain-Cleaning,plumbing,1.25,0,237.00,237.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA1C,Sanitary Waste System Renovation · Power clean area main lines · Flush out main fixture lines · Rejuvenate sanitary seals · 1 year warranty,Drain-Cleaning,plumbing,1.25,0,237.00,237.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA1D,Complete Sanitary Waste System Renovation · Power clean area main lines · Flush and purge area fixture lines · Inspection and treatment service · Rejuvena,Drain-Cleaning,plumbing,3.5,0,655.00,655.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA1E,Complete Sanitary Waste System Renovation · Power clean area main lines · Flush and purge area fixture lines · Inspection and treatment service · Rejuvena,Drain-Cleaning,plumbing,5,0,917.00,917.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA2A,Quick Fix · 30 day warranty,Drain-Cleaning,plumbing,2,0,352.00,352.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA2B,Main Waste System Renovations Only · Basic fixture flush · 6 month warranty,Drain-Cleaning,plumbing,2.75,0,528.00,528.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA2C,Sanitary Waste System Renovation · Power clean area main lines · Flush out main fixture lines · Rejuvenate sanitary seals · 1 year warranty,Drain-Cleaning,plumbing,3.75,0,704.00,704.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA2D,Complete Sanitary Waste System Renovation · Power clean area main lines · Flush and purge area fixture lines · Inspection and treatment service · Rejuvena,Drain-Cleaning,plumbing,4.75,0,880.00,880.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA2E,Complete Sanitary Waste System Renovation · Power clean area main lines · Flush and purge area fixture lines · Inspection and treatment service · Rejuvena,Drain-Cleaning,plumbing,6.75,0,1233.00,1233.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA3A,Quick Fix · 30 day warranty,Drain-Cleaning,plumbing,2.5,0,469.00,469.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA3B,Main Waste System Renovations Only · Basic fixture flush · 6 month warranty,Drain-Cleaning,plumbing,3.75,0,703.00,703.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA3C,Sanitary Waste System Renovation · Power clean area main lines · Flush out main fixture lines · Rejuvenate sanitary seals · 1 year warranty,Drain-Cleaning,plumbing,5,0,938.00,938.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
plumbing,PA3D,Complete Sanitary Waste System Renovation · Power clean area main lines · Flush and purge area fixture lines · Inspection and treatment service · Rejuvena,Drain-Cleaning,plumbing,6.25,0,1172.00,1172.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
